REG_DT,DTIN_NM,STTS_CD,FRST_WRT_YR,STATS_VL,WRTR_TELNO,RGTR_ID,WRT_DEPT_NM,ORGNL_PATH_CN,DTA_UNIT_NM,RW_STATS_ID,YR,MDFR_ID,DONG_CD,MDFCN_DT
0015/07/22 00:00:00,고령인구수,ST02,2007,22078,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2717000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,21477,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2720000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,35167,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2723000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,39353,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2726000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,40128,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2729000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,15524,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2771000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,204880,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2800000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,9704,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2811000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,8884,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2814000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,37857,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2817000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,16840,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2818500000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,29011,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2820000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,41244,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2823700000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,19614,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2824500000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,24019,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2826000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,14477,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2871000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,3230,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2872000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,113823,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2900000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,14545,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2911000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,22625,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2914000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,20505,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2915500000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,35735,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2917000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,20413,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,2920000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,113994,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,3000000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,24810,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,3011000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,25952,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,3014000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,32741,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,3017000000,0016/01/29 00:00:00
0015/07/22 00:00:00,고령인구수,ST02,2007,15040,02-2100-3128,admin,"자치행정과, 정보통신담당관실",지역통계>주제별>인구·가구>주민등록인구통계>동읍면/5세별주민등록인구,인,STTS000111,2007,admin,3020000000,0016/01/29 00:00:00
